Id,ActivityMinute,value,logId,Date
6962181067,2016-04-19 00:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:44:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:45:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:46:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:47:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:48:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:49:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:50:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:51:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:52:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:53:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:54:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:55:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:56:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:57:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:58:30,1,11434169235,2016-04-19
6962181067,2016-04-19 00:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:02:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:03:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:04:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:05:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:06:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:07:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:10:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:11:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:12:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:13:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:14:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:15:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:16:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:17:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:18:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:25:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:26:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:44:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:45:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:46:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:47:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:48:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:49:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:50:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:51:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:52:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:53:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:54:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:55:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:56:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:57:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:58:30,1,11434169235,2016-04-19
6962181067,2016-04-19 01:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:02:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:03:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:04:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:05:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:06:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:07:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:10:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:11:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:12:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:13:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:14:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:15:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:16:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:17:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:18:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:25:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:26:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:44:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:45:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:46:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:47:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:48:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:49:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:50:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:51:30,1,11434169235,2016-04-19
6962181067,2016-04-19 02:52:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:53:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:54:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:55:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:56:30,3,11434169235,2016-04-19
6962181067,2016-04-19 02:57:30,3,11434169235,2016-04-19
6962181067,2016-04-19 02:58:30,2,11434169235,2016-04-19
6962181067,2016-04-19 02:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:02:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:03:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:04:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:05:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:06:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:07:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:10:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:11:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:12:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:13:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:14:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:15:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:16:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:17:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:18:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:25:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:26:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:44:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:45:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:46:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:47:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:48:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:49:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:50:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:51:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:52:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:53:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:54:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:55:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:56:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:57:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:58:30,1,11434169235,2016-04-19
6962181067,2016-04-19 03:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:02:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:03:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:04:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:05:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:06:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:07:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:10:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:11:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:12:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:13:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:14:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:15:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:16:30,3,11434169235,2016-04-19
6962181067,2016-04-19 04:17:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:18:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:25:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:26:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:27:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:28:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:29:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:30:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:31:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:34:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:35:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:36:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:38:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:40:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:41:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:44:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:45:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:46:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:47:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:48:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:49:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:50:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:51:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:52:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:53:30,2,11434169235,2016-04-19
6962181067,2016-04-19 04:54:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:55:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:56:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:57:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:58:30,1,11434169235,2016-04-19
6962181067,2016-04-19 04:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:02:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:03:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:04:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:05:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:06:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:07:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:10:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:11:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:12:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:13:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:14:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:15:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:16:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:17:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:18:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:25:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:26:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:44:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:45:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:46:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:47:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:48:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:49:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:50:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:51:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:52:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:53:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:54:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:55:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:56:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:57:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:58:30,1,11434169235,2016-04-19
6962181067,2016-04-19 05:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:02:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:03:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:04:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:05:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:06:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:07:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:10:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:11:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:12:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:13:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:14:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:15:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:16:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:17:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:18:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:25:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:26:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:42:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:43:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:44:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:45:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:46:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:47:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:48:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:49:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:50:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:51:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:52:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:53:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:54:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:55:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:56:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:57:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:58:30,1,11434169235,2016-04-19
6962181067,2016-04-19 06:59:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:00:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:01:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:02:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:03:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:04:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:05:30,2,11434169235,2016-04-19
6962181067,2016-04-19 07:06:30,2,11434169235,2016-04-19
6962181067,2016-04-19 07:07:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:08:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:09:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:10:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:11:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:12:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:13:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:14:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:15:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:16:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:17:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:18:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:19:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:20:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:21:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:22:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:23:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:24:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:25:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:26:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:27:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:28:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:29:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:30:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:31:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:32:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:33:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:34:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:35:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:36:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:37:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:38:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:39:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:40:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:41:30,1,11434169235,2016-04-19
6962181067,2016-04-19 07:42:30,1,11434169235,2016-04-19
